model,valid_time,height_agl_m,mean_turbulence,p90_turbulence,high_risk_fraction,mean_uncertainty
model_d,2025-07-31 03:30:00,300.0,0.564501166343689,0.6790592670440674,0.21055590695059387,0.29010990262031555
model_d,2025-07-31 03:30:00,350.0,0.5597981810569763,0.6703752875328064,0.18258486190174994,0.2921347916126251
model_d,2025-07-31 03:30:00,400.0,0.5554831624031067,0.6630150675773621,0.15229460960011246,0.29358458518981934
model_d,2025-07-31 03:30:00,450.0,0.555743932723999,0.6607287526130676,0.14702368402558155,0.2952774465084076
model_d,2025-07-31 03:30:00,500.0,0.5596226453781128,0.6603036522865295,0.1454775458570525,0.29783594608306885
model_d,2025-07-31 03:30:00,550.0,0.5518256425857544,0.6518649458885193,0.10837022981235504,0.3002857267856598
model_d,2025-07-31 03:30:00,600.0,0.544817328453064,0.6464952826499939,0.08827043362147727,0.30114394426345825
model_d,2025-07-31 03:30:00,650.0,0.5544769167900085,0.6477975249290466,0.09269801110408321,0.30557239055633545
model_d,2025-07-31 03:30:00,700.0,0.5518893003463745,0.6435100436210632,0.07807997751071755,0.30798396468162537
model_d,2025-07-31 03:30:00,750.0,0.55350661277771,0.6439432501792908,0.07702579239581137,0.3087019920349121
model_d,2025-07-31 03:30:00,800.0,0.5535587072372437,0.6380193829536438,0.060369667580293766,0.31051501631736755
model_d,2025-07-31 03:30:00,850.0,0.5554796457290649,0.6356776356697083,0.049898095438892405,0.3123714327812195
model_d,2025-07-31 03:30:00,900.0,0.5537903308868408,0.6353552341461182,0.04933586337760911,0.3118077218532562
model_d,2025-07-31 03:30:00,950.0,0.5546131134033203,0.6366904377937317,0.051092838569119406,0.3120937645435333
model_d,2025-07-31 03:30:00,1000.0,0.5565019845962524,0.635528028011322,0.05102255956145899,0.3116174042224884
model_d,2025-07-31 03:30:00,1050.0,0.552295982837677,0.6355150938034058,0.05179562864572352,0.30939507484436035
model_d,2025-07-31 03:30:00,1100.0,0.5523169040679932,0.6355118155479431,0.053271487806592174,0.30934908986091614
model_d,2025-07-31 03:30:00,1150.0,0.5503599643707275,0.6339724063873291,0.05102255956145899,0.3091091513633728
model_d,2025-07-31 03:30:00,1200.0,0.5477410554885864,0.6309704780578613,0.0463138660482114,0.30988895893096924
model_d,2025-07-31 03:30:00,1250.0,0.5471798181533813,0.6298802495002747,0.048843910323986224,0.3103460669517517
model_d,2025-07-31 03:30:00,1300.0,0.5434211492538452,0.628706693649292,0.04659498207885305,0.3103709816932678
model_d,2025-07-31 03:30:00,1350.0,0.5422418117523193,0.6264790892601013,0.043151310703492866,0.31031742691993713
model_d,2025-07-31 03:30:00,1400.0,0.537657618522644,0.6215261220932007,0.031484995431864504,0.3102235198020935
model_d,2025-07-31 03:30:00,1450.0,0.5307027697563171,0.6111629009246826,0.013844964509101132,0.3108777105808258
model_d,2025-07-31 03:30:00,1500.0,0.5221236944198608,0.6020788550376892,0.008082085880947361,0.30984237790107727
model_d,2025-07-31 03:30:00,1550.0,0.5183627605438232,0.6000606417655945,0.00801180687328695,0.3096882700920105
model_d,2025-07-31 03:30:00,1600.0,0.5118884444236755,0.5919997096061707,0.00421674045962471,0.30877047777175903
model_d,2025-07-31 03:30:00,1650.0,0.5066128373146057,0.5881516933441162,0.00421674045962471,0.3081987798213959
model_d,2025-07-31 03:30:00,1700.0,0.5002388954162598,0.5850844979286194,0.003021997329397709,0.30869051814079285
model_d,2025-07-31 03:30:00,1750.0,0.4918145537376404,0.5810468792915344,0.0032328343523789446,0.3076064884662628
model_d,2025-07-31 03:30:00,1800.0,0.4902757704257965,0.5807145237922668,0.003935624428983063,0.3078783452510834
model_d,2025-07-31 03:30:00,1850.0,0.48792263865470886,0.5795931816101074,0.004497856490266358,0.307789146900177
model_d,2025-07-31 03:30:00,1900.0,0.4836931526660919,0.5746446251869202,0.0033031133600393563,0.30716225504875183
model_d,2025-07-31 03:30:00,1950.0,0.4837261438369751,0.5775773525238037,0.005481762597512123,0.3085559010505676
model_d,2025-07-31 03:30:00,2000.0,0.4913504719734192,0.588723361492157,0.014055801532082367,0.31215178966522217
model_d,2025-07-31 04:00:00,0.0,0.4480777382850647,0.5812532901763916,0.04561107597160728,0.27391621470451355
model_d,2025-07-31 04:00:00,50.0,0.4792722165584564,0.6113482713699341,0.048492515285684164,0.29324808716773987
model_d,2025-07-31 04:00:00,100.0,0.5275611877441406,0.6629547476768494,0.2114695340501792,0.28562116622924805
model_d,2025-07-31 04:00:00,150.0,0.5404180288314819,0.6722684502601624,0.2203949680230515,0.2757898271083832
model_d,2025-07-31 04:00:00,200.0,0.5551143884658813,0.6825933456420898,0.2565183779605032,0.2789911925792694
model_d,2025-07-31 04:00:00,250.0,0.5575029253959656,0.6810912489891052,0.2357860707006817,0.28104931116104126
model_d,2025-07-31 04:00:00,300.0,0.5595194697380066,0.6769778728485107,0.2097828378663293,0.28446757793426514
model_d,2025-07-31 04:00:00,350.0,0.5505181550979614,0.6694755554199219,0.17028603556117788,0.28596681356430054
