地区,模型,月份,实际事件数,预测事件数
中东与北非,阻尼季节ETS,2012-12-01,143,131.57391772667683
中东与北非,阻尼季节ETS,2013-01-01,208,172.85114571664553
中东与北非,阻尼季节ETS,2013-02-01,186,146.17973282858685
中东与北非,阻尼季节ETS,2013-03-01,231,171.16338256331196
中东与北非,阻尼季节ETS,2013-04-01,252,200.50454229535467
中东与北非,阻尼季节ETS,2013-05-01,343,185.8550041582833
中东与北非,阻尼季节ETS,2013-06-01,311,179.91450196868462
中东与北非,阻尼季节ETS,2013-07-01,522,184.17705543767954
中东与北非,阻尼季节ETS,2013-08-01,460,192.68673922936605
中东与北非,阻尼季节ETS,2013-09-01,401,172.60940235316738
中东与北非,阻尼季节ETS,2013-10-01,475,170.98358742152502
中东与北非,阻尼季节ETS,2013-11-01,558,195.144224324277
中东与北非,阻尼季节ETS,2013-12-01,612,171.5680264259136
中东与北非,阻尼季节ETS,2014-01-01,587,609.1219839737653
中东与北非,阻尼季节ETS,2014-02-01,637,628.2670325573237
中东与北非,阻尼季节ETS,2014-03-01,730,673.1523004693724
中东与北非,阻尼季节ETS,2014-04-01,575,722.6398502508537
中东与北非,阻尼季节ETS,2014-05-01,706,764.9645977083804
中东与北非,阻尼季节ETS,2014-06-01,548,782.0969760702146
中东与北非,阻尼季节ETS,2014-07-01,680,862.336684925718
中东与北非,阻尼季节ETS,2014-08-01,549,889.0949639278305
中东与北非,阻尼季节ETS,2014-09-01,491,895.9570366584187
中东与北非,阻尼季节ETS,2014-10-01,545,929.473024895907
中东与北非,阻尼季节ETS,2014-11-01,453,990.154257282783
中东与北非,阻尼季节ETS,2014-12-01,438,999.9696588739685
中东与北非,阻尼季节ETS,2015-01-01,544,419.13683820284746
中东与北非,阻尼季节ETS,2015-02-01,453,394.50545871898265
中东与北非,阻尼季节ETS,2015-03-01,468,398.04577010389966
中东与北非,阻尼季节ETS,2015-04-01,537,364.67753063823915
中东与北非,阻尼季节ETS,2015-05-01,473,388.0001731765923
中东与北非,阻尼季节ETS,2015-06-01,499,331.649218793856
中东与北非,阻尼季节ETS,2015-07-01,534,390.6128828859098
中东与北非,阻尼季节ETS,2015-08-01,579,353.76680223757415
中东与北非,阻尼季节ETS,2015-09-01,446,312.11763099057265
中东与北非,阻尼季节ETS,2015-10-01,552,316.29520767222266
中东与北非,阻尼季节ETS,2015-11-01,500,330.1733285358786
中东与北非,阻尼季节ETS,2015-12-01,451,299.20003404194745
中东与北非,阻尼季节ETS,2016-01-01,574,521.1402565226023
中东与北非,阻尼季节ETS,2016-02-01,510,477.8336096792632
中东与北非,阻尼季节ETS,2016-03-01,481,507.9028655569759
中东与北非,阻尼季节ETS,2016-04-01,510,499.3795643665359
中东与北非,阻尼季节ETS,2016-05-01,639,517.0152959298597
中东与北非,阻尼季节ETS,2016-06-01,528,472.7678916925004
中东与北非,阻尼季节ETS,2016-07-01,510,534.3289812013699
中东与北非,阻尼季节ETS,2016-08-01,483,507.82712827471335
中东与北非,阻尼季节ETS,2016-09-01,518,442.052558532322
中东与北非,阻尼季节ETS,2016-10-01,524,475.77134979088754
中东与北非,阻尼季节ETS,2016-11-01,447,476.02710033030996
中东与北非,阻尼季节ETS,2016-12-01,391,440.3627397712392
中东与北非,低阶SARIMA,2012-01-01,232,110.05362624185685
中东与北非,低阶SARIMA,2012-02-01,164,107.39907918394807
中东与北非,低阶SARIMA,2012-03-01,165,131.4008649367674
中东与北非,低阶SARIMA,2012-04-01,214,147.17913897177715
中东与北非,低阶SARIMA,2012-05-01,194,145.1474480427367
中东与北非,低阶SARIMA,2012-06-01,201,148.14520892731582
中东与北非,低阶SARIMA,2012-07-01,209,138.90856286022273
中东与北非,低阶SARIMA,2012-08-01,253,145.96530245386813
中东与北非,低阶SARIMA,2012-09-01,228,139.65516651990444
中东与北非,低阶SARIMA,2012-10-01,201,144.0632931426682
中东与北非,低阶SARIMA,2012-11-01,205,199.5564683833943
中东与北非,低阶SARIMA,2012-12-01,143,159.01618026649845
中东与北非,低阶SARIMA,2013-01-01,208,173.5091143553148
中东与北非,低阶SARIMA,2013-02-01,186,147.32188854448017
中东与北非,低阶SARIMA,2013-03-01,231,173.31213469582354
中东与北非,低阶SARIMA,2013-04-01,252,203.3034748152434
中东与北非,低阶SARIMA,2013-05-01,343,189.1123648986795
中东与北非,低阶SARIMA,2013-06-01,311,184.11316342474728
中东与北非,低阶SARIMA,2013-07-01,522,189.71172725219617
中东与北非,低阶SARIMA,2013-08-01,460,198.50821119550145
中东与北非,低阶SARIMA,2013-09-01,401,179.31637687845117
中东与北非,低阶SARIMA,2013-10-01,475,178.11637094330814
中东与北非,低阶SARIMA,2013-11-01,558,202.7052472235282
中东与北非,低阶SARIMA,2013-12-01,612,179.8974156227003
中东与北非,低阶SARIMA,2014-01-01,587,597.7665733905062
中东与北非,低阶SARIMA,2014-02-01,637,576.7121344958849
中东与北非,低阶SARIMA,2014-03-01,730,597.1665139685244
中东与北非,低阶SARIMA,2014-04-01,575,620.6399498432847
中东与北非,低阶SARIMA,2014-05-01,706,647.1712132111925
中东与北非,低阶SARIMA,2014-06-01,548,633.7018051197394
中东与北非,低阶SARIMA,2014-07-01,680,713.1770777953452
中东与北非,低阶SARIMA,2014-08-01,549,705.961340911299
中东与北非,低阶SARIMA,2014-09-01,491,678.7613301985276
中东与北非,低阶SARIMA,2014-10-01,545,697.0717320767301
中东与北非,低阶SARIMA,2014-11-01,453,744.6635401251687
中东与北非,低阶SARIMA,2014-12-01,438,738.0041548411533
中东与北非,低阶SARIMA,2015-01-01,544,461.9019279914806
中东与北非,低阶SARIMA,2015-02-01,453,474.45314000820974
中东与北非,低阶SARIMA,2015-03-01,468,533.699307929654
中东与北非,低阶SARIMA,2015-04-01,537,469.62283915101864
中东与北非,低阶SARIMA,2015-05-01,473,556.0586746889005
中东与北非,低阶SARIMA,2015-06-01,499,468.9773158148646
